 Teff =  2300.00  logg =  4.50  mixLengthPara =  2.00  Abschluss =  8  beta =  2.20  pconv[bar] =  0.29
           6           7
 
           p         pel           T          a1          a2          N1          N2
  1.5813E-05  3.2598E-16  1.0627E+03  2.2594E-06  7.3483E-07  2.0958E-06  6.2400E-07
  1.6104E-05  3.3273E-16  1.0632E+03  2.2633E-06  7.3562E-07  2.2407E-06  6.6485E-07
  1.6399E-05  3.3962E-16  1.0637E+03  2.2672E-06  7.3640E-07  2.3967E-06  7.0869E-07
  1.6700E-05  3.4664E-16  1.0641E+03  2.2710E-06  7.3717E-07  2.5646E-06  7.5575E-07
  1.7006E-05  3.5381E-16  1.0646E+03  2.2747E-06  7.3793E-07  2.7454E-06  8.0627E-07
  1.7318E-05  3.6112E-16  1.0651E+03  2.2784E-06  7.3869E-07  2.9400E-06  8.6051E-07
  1.7636E-05  3.6858E-16  1.0656E+03  2.2820E-06  7.3943E-07  3.1495E-06  9.1877E-07
  1.7959E-05  3.7619E-16  1.0661E+03  2.2856E-06  7.4017E-07  3.3750E-06  9.8134E-07
  1.8289E-05  3.8395E-16  1.0665E+03  2.2891E-06  7.4091E-07  3.6179E-06  1.0486E-06
  1.8624E-05  3.9187E-16  1.0670E+03  2.2925E-06  7.4163E-07  3.8795E-06  1.1208E-06
  1.8966E-05  3.9995E-16  1.0675E+03  2.2958E-06  7.4234E-07  4.1611E-06  1.1984E-06
  1.9314E-05  4.0819E-16  1.0680E+03  2.2991E-06  7.4305E-07  4.4645E-06  1.2818E-06
  1.9668E-05  4.1660E-16  1.0685E+03  2.3023E-06  7.4374E-07  4.7912E-06  1.3715E-06
  2.0029E-05  4.2518E-16  1.0690E+03  2.3054E-06  7.4442E-07  5.1431E-06  1.4680E-06
  2.0396E-05  4.3393E-16  1.0694E+03  2.3085E-06  7.4509E-07  5.5222E-06  1.5716E-06
  2.0770E-05  4.4285E-16  1.0699E+03  2.3115E-06  7.4574E-07  5.9306E-06  1.6831E-06
  2.1676E-05  4.6601E-16  1.0712E+03  2.3145E-06  7.4637E-07  6.5358E-06  1.8496E-06
